epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
24,1042.81,0.46533,0.894,1,0.29408,0.000965375,0.000965375,0.000965375
25,1087.5,0.42405,0.91492,1,0.25307,0.000953,0.000953,0.000953
26,1131.21,0.39801,0.89819,1,0.25515,0.000940625,0.000940625,0.000940625
27,1174.78,0.40523,0.88842,1,0.27271,0.00092825,0.00092825,0.00092825
28,1219.33,0.3622,0.90377,1,0.25689,0.000915875,0.000915875,0.000915875
29,1263.81,0.40278,0.89121,1,0.3018,0.0009035,0.0009035,0.0009035
30,1308.4,0.36512,0.90516,1,0.25197,0.000891125,0.000891125,0.000891125
31,1351.43,0.3511,0.88563,1,0.32385,0.00087875,0.00087875,0.00087875
32,1393.81,0.35477,0.90656,1,0.23282,0.000866375,0.000866375,0.000866375
33,1436.86,0.33374,0.89679,1,0.29405,0.000854,0.000854,0.000854
34,1480.19,0.31429,0.89958,1,0.24835,0.000841625,0.000841625,0.000841625
35,1522.63,0.32418,0.91771,1,0.22487,0.00082925,0.00082925,0.00082925
36,1564.67,0.31961,0.91771,1,0.2149,0.000816875,0.000816875,0.000816875
37,1606.96,0.28954,0.91074,1,0.22358,0.0008045,0.0008045,0.0008045
38,1648.7,0.29962,0.9219,1,0.19836,0.000792125,0.000792125,0.000792125
39,1690.97,0.27874,0.9219,1,0.23243,0.00077975,0.00077975,0.00077975
40,1732.83,0.28898,0.89958,1,0.27015,0.000767375,0.000767375,0.000767375
41,1775.18,0.27603,0.93724,1,0.15729,0.000755,0.000755,0.000755
42,1818.88,0.29087,0.93724,1,0.15946,0.000742625,0.000742625,0.000742625
43,1862.43,0.23838,0.94003,1,0.17609,0.00073025,0.00073025,0.00073025
44,1905.86,0.2314,0.92887,1,0.19995,0.000717875,0.000717875,0.000717875
45,1948.24,0.24509,0.92887,1,0.21097,0.0007055,0.0007055,0.0007055
46,1990.6,0.22703,0.92887,1,0.16174,0.000693125,0.000693125,0.000693125
47,2034.56,0.24213,0.95258,1,0.12149,0.00068075,0.00068075,0.00068075
48,2080.02,0.25882,0.93305,1,0.20962,0.000668375,0.000668375,0.000668375
49,2123.31,0.23527,0.93027,1,0.16152,0.000656,0.000656,0.000656
50,2164.48,0.23649,0.92887,1,0.22543,0.000643625,0.000643625,0.000643625
51,2205.15,0.2175,0.9484,1,0.14868,0.00063125,0.00063125,0.00063125
52,2246.41,0.22322,0.94561,1,0.13235,0.000618875,0.000618875,0.000618875
53,2288.26,0.1909,0.95397,1,0.12107,0.0006065,0.0006065,0.0006065
54,2332.8,0.19355,0.96095,1,0.12186,0.000594125,0.000594125,0.000594125
55,2379.27,0.20164,0.94979,1,0.12212,0.00058175,0.00058175,0.00058175
56,2424.91,0.17549,0.96234,1,0.10827,0.000569375,0.000569375,0.000569375
57,2468.09,0.22502,0.95676,1,0.10821,0.000557,0.000557,0.000557
58,2510.09,0.17571,0.95676,1,0.10795,0.000544625,0.000544625,0.000544625
59,2551.63,0.16529,0.94979,1,0.15313,0.00053225,0.00053225,0.00053225
60,2593.47,0.15845,0.94421,1,0.14253,0.000519875,0.000519875,0.000519875
61,2637.02,0.15912,0.94003,1,0.15881,0.0005075,0.0005075,0.0005075
62,2679.6,0.18073,0.95258,1,0.14137,0.000495125,0.000495125,0.000495125
63,2722.17,0.15029,0.95537,1,0.12473,0.00048275,0.00048275,0.00048275
64,2764.14,0.1593,0.97071,1,0.10102,0.000470375,0.000470375,0.000470375
65,2807.83,0.15041,0.95537,1,0.09588,0.000458,0.000458,0.000458
66,2851.62,0.13401,0.95816,1,0.09203,0.000445625,0.000445625,0.000445625
67,2893.55,0.13356,0.96374,1,0.08859,0.00043325,0.00043325,0.00043325
68,2935.16,0.15884,0.96095,1,0.09633,0.000420875,0.000420875,0.000420875
69,2977.36,0.1318,0.96792,1,0.09239,0.0004085,0.0004085,0.0004085
70,3020.33,0.13793,0.96932,1,0.11352,0.000396125,0.000396125,0.000396125
71,3062.69,0.13383,0.96234,1,0.09997,0.00038375,0.00038375,0.00038375
72,3105.2,0.12465,0.95816,1,0.118,0.000371375,0.000371375,0.000371375
73,3149.12,0.12241,0.95537,1,0.1118,0.000359,0.000359,0.000359
74,3192.3,0.12582,0.96234,1,0.11157,0.000346625,0.000346625,0.000346625
75,3235.95,0.11247,0.96374,1,0.0956,0.00033425,0.00033425,0.00033425
76,3284.95,0.10669,0.95955,1,0.11258,0.000321875,0.000321875,0.000321875
77,3330.78,0.1136,0.9735,1,0.08762,0.0003095,0.0003095,0.0003095
78,3374.61,0.10597,0.9749,1,0.10099,0.000297125,0.000297125,0.000297125
79,3417.82,0.11948,0.96653,1,0.12452,0.00028475,0.00028475,0.00028475
80,3460.88,0.11386,0.96513,1,0.11865,0.000272375,0.000272375,0.000272375
81,3503.22,0.09739,0.96653,1,0.10166,0.00026,0.00026,0.00026
82,3545.09,0.11586,0.97211,1,0.0947,0.000247625,0.000247625,0.000247625
83,3586.54,0.10099,0.97211,1,0.10371,0.00023525,0.00023525,0.00023525
84,3629.26,0.09493,0.9735,1,0.09272,0.000222875,0.000222875,0.000222875
85,3671.42,0.09816,0.97071,1,0.10192,0.0002105,0.0002105,0.0002105
86,3714.68,0.0909,0.96932,1,0.09464,0.000198125,0.000198125,0.000198125
87,3758.09,0.09437,0.95676,1,0.12027,0.00018575,0.00018575,0.00018575
88,3801.41,0.07765,0.96513,1,0.0889,0.000173375,0.000173375,0.000173375
89,3844.63,0.08681,0.96653,1,0.10542,0.000161,0.000161,0.000161
90,3886.18,0.08547,0.96932,1,0.08416,0.000148625,0.000148625,0.000148625
91,3930.7,0.07314,0.96374,1,0.08896,0.00013625,0.00013625,0.00013625
92,3971.31,0.07635,0.96374,1,0.08565,0.000123875,0.000123875,0.000123875
93,4012.83,0.07164,0.97071,1,0.08161,0.0001115,0.0001115,0.0001115
94,4054.46,0.07473,0.96792,1,0.08666,9.9125e-05,9.9125e-05,9.9125e-05
95,4095.18,0.07301,0.96513,1,0.08058,8.675e-05,8.675e-05,8.675e-05
96,4135.35,0.08523,0.96374,1,0.08099,7.4375e-05,7.4375e-05,7.4375e-05
97,4175.79,0.06743,0.96932,1,0.07745,6.2e-05,6.2e-05,6.2e-05
98,4216.74,0.07684,0.9735,1,0.0706,4.9625e-05,4.9625e-05,4.9625e-05
99,4256.85,0.06347,0.97211,1,0.07102,3.725e-05,3.725e-05,3.725e-05
100,4296.47,0.05282,0.96932,1,0.07121,2.4875e-05,2.4875e-05,2.4875e-05
